Store,Refilled_location,# of completed tasks,Refilled_pieces,Est. TO (LCY),Est. TO (EUR),% of Est. TO (LCY)
274 - IKEA Barendrecht,S00V15,1,4,27.96,27.96,0.000168
274 - IKEA Barendrecht,S08C18,1,5,24.95,24.95,0.00015
274 - IKEA Barendrecht,S01V24,1,10,19.9,19.9,0.00012
274 - IKEA Barendrecht,S09M13,1,10,19.9,19.9,0.00012
274 - IKEA Barendrecht,KASSCC,1,7,17.43,17.43,0.000105
274 - IKEA Barendrecht,S07E20,2,10,9.9,9.9,0.00006
274 - IKEA Barendrecht,000300,1,0,0,0,0
274 - IKEA Barendrecht,KASP05,1,0,0,0,0
274 - IKEA Barendrecht,S02J15,1,0,0,0,0
274 - IKEA Barendrecht,M15Q18,1,0,0,0,0
274 - IKEA Barendrecht,M14T10,1,0,0,0,0
274 - IKEA Barendrecht,S04B08,1,0,0,0,0
274 - IKEA Barendrecht,S02O16,1,0,0,0,0
274 - IKEA Barendrecht,M06F18,1,0,0,0,0
274 - IKEA Barendrecht,M16B01,1,0,0,0,0
274 - IKEA Barendrecht,M10G11,1,0,0,0,0
274 - IKEA Barendrecht,S01U24,1,0,0,0,0
274 - IKEA Barendrecht,M18VM4,1,0,0,0,0
274 - IKEA Barendrecht,S03M23,1,0,0,0,0
274 - IKEA Barendrecht,S96R10,1,0,0,0,0
274 - IKEA Barendrecht,S03L25,1,0,0,0,0
274 - IKEA Barendrecht,S00Y12,1,0,0,0,0
274 - IKEA Barendrecht,M16D07,1,0,0,0,0
274 - IKEA Barendrecht,KASP03,1,0,0,0,0
274 - IKEA Barendrecht,M13P07,1,0,0,0,0
274 - IKEA Barendrecht,M18OPE,1,0,0,0,0
274 - IKEA Barendrecht,S09P07,1,0,0,0,0
274 - IKEA Barendrecht,S09M08,1,0,0,0,0
274 - IKEA Barendrecht,M12P14,1,0,0,0,0
